recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100058567,F190041435,2019-01-01 00:00:00.0,Male,White,34,Small,Long,Fair,Unknown,"BLK HAT, PLAID SCARF,BROWN JACKET, BLUE/WHITE JACKET,BLK/ORANGE SWEATSHIRT,GRAY HOODY,BLUE JEANS, BLK/WHITE SNEAKERS."
100058537,F190041421,2019-01-01 00:00:00.0,Male,White,25,Medium,,,Not of Hispanic Origin,
100058581,F190041434,2019-01-01 00:00:00.0,Male,Black,20,Thin,,,,
100058578,F190041434,2019-01-01 00:00:00.0,Male,Unknown,22,,,,,BLUE PUMA HOODIE / BLUE PUMA SWEATPANTS
100058579,F190041434,2019-01-01 00:00:00.0,Male,Black,20,,,,,"BLACK HOODIE, DARK BLUE JEANS, BLACK SHOES"
100058580,F190041434,2019-01-01 00:00:00.0,Male,Black,20,,,,,
100058536,F190041420,2019-01-01 01:22:00.0,Male,Black,28,Heavy,Short,Light Brown,Hispanic Origin,"INACTIVE GANG MEMBER (DDP)
PRIOR DRUG CHARGES (PWID/POSS D)"
100058892,F190041422,2019-01-01 09:50:00.0,Male,White,28,Thin,,Light,Not of Hispanic Origin,
100058539,F190041426,2019-01-01 11:20:00.0,Male,White,28,Medium,,,,BLUE HOODED SWEATSHIRT
100058542,F190041425,2019-01-01 11:00:00.0,Male,Black,59,Thin,,Dark,Not of Hispanic Origin,
100058540,F190041428,2019-01-01 09:30:00.0,Male,Black,35,Medium,Short,Medium Brown,Not of Hispanic Origin,"BLACK JACKET, BLACK/RED STRIPED SHIRT, KHAKI PANTS"
100058541,F190041428,2019-01-01 09:30:00.0,Male,Black,35,,,,Not of Hispanic Origin,
100058545,F190041423,2019-01-01 09:30:00.0,Male,Unknown,22,,,,,
100058893,F190041422,2019-01-01 09:50:00.0,Male,Black,24,Medium,Short,,Hispanic Origin,
100058561,F190041433,2019-01-01 17:50:00.0,Male,White,23,Small,Short,Light Brown,Hispanic Origin,PRIOR DRUG CHARGES (DIST/PWID/POSS D)
100058569,F190041436,2019-01-01 21:25:00.0,Male,Black,22,Heavy,,Medium,,
100058559,F190041432,2019-01-01 18:30:00.0,Male,Black,53,Medium,,Dark Brown,Not of Hispanic Origin,
100058570,F190041436,2019-01-01 21:25:00.0,Female,Black,23,,,,,
100058560,F190041432,2019-01-01 18:30:00.0,Male,Black,53,Stocky,,Medium,Not of Hispanic Origin,
100058854,F190041633,2019-01-02 00:00:00.0,Male,Black,37,Medium,,,,
100058582,F190041441,2019-01-02 00:00:00.0,Male,Black,21,Thin,,Dark,Not of Hispanic Origin,"ADDRESS ON ID IS 705 RIVER ST #321, HYDE PARK"
100058568,F190041436,2019-01-01 21:25:00.0,Male,Black,21,Stocky,,Medium,Hispanic Origin,
100058566,F190041430,2019-01-01 14:30:00.0,Male,White,30,Medium,Straight,Medium,Not of Hispanic Origin,"SHOULDER LENGHT HAIR, BLACK JACKET W HOODIE, DARK BLUE SHIRT, BLACK JEANS, BLACK SNEAKERS, BLACK BACKPACK"
100058577,F190041438,2019-01-02 00:00:00.0,Male,Black,35,,,,Not of Hispanic Origin,"BRAIDS, BLACK HOODIE, BLUE JEANS"
100058543,F190041431,2019-01-01 19:00:00.0,Male,Black,23,,,,,
100058572,F190041437,2019-01-01 21:56:00.0,Male,Black,17,,,,,
100058546,F190041429,2019-01-01 15:30:00.0,Male,Black,20,,,,Not of Hispanic Origin,"BLUE HOODIE, BLACK JACKET YELLOW BEANIE, JEANS, BLACK SNEAKERS"
100058573,F190041437,2019-01-01 21:56:00.0,Male,White,18,,,,,
100058571,F190041437,2019-01-01 21:56:00.0,Male,White,17,,,,Not of Hispanic Origin,
100058583,F190041441,2019-01-02 00:00:00.0,Male,Black,38,,,,,
100058607,F190041450,2019-01-02 21:16:00.0,Male,Black,23,Small,,Dark Brown,Not of Hispanic Origin,
100058665,F190041448,2019-01-02 17:32:00.0,Male,Black,52,Medium,,Medium Brown,Not of Hispanic Origin,"BLACK WINTER JACKET PARKA, DARK COLORED PANTS."
100058604,F190041449,2019-01-02 18:35:00.0,Male,Black,27,Medium,,Medium Brown,,
100058666,F190041448,2019-01-02 17:32:00.0,Male,White,51,Muscular,Short,Medium,,"BLACK KNIT HAT, TAN JACKET, BLUE PANTS."
100058592,F190041444,2019-01-02 10:45:00.0,Female,White,18,Thin,,Light Brown,Unknown,
100058614,F190041464,2019-01-02 23:00:00.0,Male,Black,16,Stocky,,Dark,Not of Hispanic Origin,
100058597,F190041447,2019-01-02 16:54:00.0,Male,Black,34,Medium,,,Unknown,
100058613,F190041464,2019-01-02 23:00:00.0,Male,Black,17,Thin,,Medium,Not of Hispanic Origin,
100058603,F190041445,2019-01-02 00:00:00.0,Male,White,25,Muscular,Short,,Hispanic Origin,"RED T-SHIRT, JEANS"
100058727,F190041459,2019-01-02 17:20:00.0,Male,White,39,Thin,Short,Medium,Unknown,"GRAY HOODIE, BLACK PANTS"
100058590,F190041442,2019-01-02 01:05:00.0,Female,Black,21,,,,Not of Hispanic Origin,
100058584,F190041440,2019-01-02 02:22:00.0,Male,Black,19,Stocky,,Brown,Not of Hispanic Origin,
100058692,F190041517,2019-01-02 13:30:00.0,Male,Native Hawaiian / Other Pacific Islander,16,Thin,,Light,Unknown,
100058594,F190041444,2019-01-02 10:45:00.0,Male,White,45,,,,Hispanic Origin,
100058624,F190041469,2019-01-02 22:25:00.0,Female,White,29,Thin,,Light,Not of Hispanic Origin,
100058623,F190041469,2019-01-02 22:25:00.0,Male,Black,40,,,,Not of Hispanic Origin,
100058606,F190041450,2019-01-02 21:16:00.0,Male,Black,23,,,,,
100058595,F190041444,2019-01-02 10:45:00.0,Male,White,32,Heavy,,Light,Hispanic Origin,
100058593,F190041444,2019-01-02 10:45:00.0,Female,White,22,,,,Unknown,
100058574,F190041439,2019-01-02 00:30:00.0,Male,Black,25,,,,Not of Hispanic Origin,
100058575,F190041439,2019-01-02 00:30:00.0,Male,Black,22,,,,,
100058585,F190041440,2019-01-02 02:22:00.0,Male,Black,23,,,,Not of Hispanic Origin,
100058586,F190041440,2019-01-02 02:22:00.0,Male,Black,25,,,Light Brown,,
100058587,F190041442,2019-01-02 01:05:00.0,Male,Black,32,,,,,"BLACK JACKET, BLACK PANTS, PLAIN RED HAT"
100058588,F190041442,2019-01-02 01:05:00.0,Female,Black,36,,,,,"GREEN CAMO JACKET, DARK JEANS"
100058589,F190041442,2019-01-02 01:05:00.0,Female,Black,26,,,,,
100058591,F190041442,2019-01-02 01:05:00.0,Female,Black,,,,,,
100058596,F190041446,2019-01-02 16:09:00.0,Male,Black,19,Thin,Short,Dark,Not of Hispanic Origin,"BLUE SNEAKERS, BLUE JEANS, BLACK JACKET"
100058605,F190041445,2019-01-02 00:00:00.0,Male,White,41,Thin,Curly,,Hispanic Origin,"BLACK HOODIE, BLUE JEANS, RED SNEAKERS"
100058629,F190041472,2019-01-02 21:30:00.0,Male,White,29,,,,Not of Hispanic Origin,
100058630,F190041472,2019-01-02 21:30:00.0,Female,White,21,,,,Unknown,
100058679,F190041443,2019-01-02 10:20:00.0,Female,White,30,,,,,"BLACK JACKET,BLACK PANTS,"
100058662,F190041461,2019-01-03 13:20:00.0,Male,Black,25,Medium,,Medium Brown,Not of Hispanic Origin,
100058634,F190041474,2019-01-03 21:50:00.0,Male,Black,18,Small,,Dark Brown,Not of Hispanic Origin,
100058646,F190041458,2019-01-03 00:00:00.0,Male,White,37,Thin,Short,Light,Not of Hispanic Origin,"BASEBALL CAP, GREY WAIST LENGTH WINTER COAT, BAGGY PANTS, BACK PACK"
100058633,F190041474,2019-01-03 21:50:00.0,Male,Black,18,Thin,,Medium Brown,Not of Hispanic Origin,
100058637,F190041475,2019-01-03 22:25:00.0,Male,Black,24,Heavy,,Medium Brown,Not of Hispanic Origin,
100058635,F190041475,2019-01-03 22:25:00.0,Male,Black,26,Medium,,Dark Brown,Not of Hispanic Origin,
100058661,F190041461,2019-01-03 13:20:00.0,Male,Black,22,Medium,,Light Brown,Not of Hispanic Origin,
100058645,F190041481,2019-01-04 02:37:00.0,Male,Black,34,Medium,,Dark Brown,Not of Hispanic Origin,
100058598,F190041451,2019-01-03 00:46:00.0,Male,White,33,Medium,,Light,Not of Hispanic Origin,"MAROON SWEATSHIRT, LIGHT BLUE HOSPITAL PANTS"
100058660,F190041457,2019-01-03 00:30:00.0,Male,Black,39,Medium,,Light,Hispanic Origin,
100058670,F190041487,2019-01-04 12:56:00.0,Male,Black,36,Muscular,,Medium Brown,Not of Hispanic Origin,"BLACK SUNGLASSES, MAROON HOODED SWEATSHIRT WITH THIN GOLD STRIPS, RIPPED LIGHT BLUE JEANS WITH BLACK LEGGINGS UNDERNEATH."
100058638,F190041475,2019-01-03 22:25:00.0,Male,Black,26,Small,,Dark,Not of Hispanic Origin,
100058748,F190041559,2019-01-03 20:30:00.0,Female,Asian,26,,,,,
100058667,F190041479,2019-01-03 22:06:00.0,Male,Black,60,Heavy,,Dark Brown,Not of Hispanic Origin,"BLUE HOODIE, BLUE JEANS"
100058652,F190041490,2019-01-04 09:37:00.0,Female,White,18,Thin,,Light Brown,Unknown,
100058728,F190041492,2019-01-03 21:10:00.0,Male,Black,16,Stocky,,Dark,Not of Hispanic Origin,"BLACK JACKET WITH FUR AROUND HOOD, SCREAM STYLE MASK, JEANS WITH RIPS, MOSTLY BLACK SNEAKERS-VERY LONG DREAD STYLE HAIR"
100058644,F190041477,2019-01-03 21:25:00.0,Female,Black,19,,,,Not of Hispanic Origin,
100058632,F190041473,2019-01-03 18:15:00.0,Male,Black,31,Thin,,,Not of Hispanic Origin,"BLACK HOODIE, BLACK AND YELLOW SNEAKERS"
100058631,F190041473,2019-01-03 18:15:00.0,Male,White,41,Thin,,Light,Hispanic Origin,BLACK JACKET
100058642,F190041477,2019-01-03 21:25:00.0,Male,Black,25,,,,Unknown,
100058636,F190041475,2019-01-03 22:25:00.0,Male,Black,25,Thin,,Medium,Not of Hispanic Origin,
100058755,F190041516,2019-01-03 19:39:00.0,Male,Black,30,Medium,,Dark Brown,Not of Hispanic Origin,
100058640,F190041476,2019-01-03 16:40:00.0,Male,Black,18,Thin,,Dark Brown,Not of Hispanic Origin,
100058601,F190041455,2019-01-03 02:50:00.0,Male,Black,29,Medium,,Brown,Not of Hispanic Origin,
100058647,F190041484,2019-01-04 09:57:00.0,Female,White,37,Medium,Short,Light,Not of Hispanic Origin,"BLACK PANTS, RED SWEATSHIRT, BLACK AND GRAY JACKET"
